insider_name,insider_role,company_name,company_cik,filing_date,filing
Jones Ryan Alexander,['Officer'],"Kyverna Therapeutics, Inc.",0001994702,2024-02-07,0000950170-24-012475
Conti Robert John,['Officer'],EXCELSIOR VENTURE PARTNERS III LLC,0001103076,2018-06-13,0001012975-18-000731
Yerger Ann,['Director'],BED BATH & BEYOND INC,0000886158,2019-05-10,0001012975-19-000337
"Luxor Capital Group, LP",['10% Owner'],"Five Point Holdings, LLC",0001574197,2020-02-13,0001013594-20-000160
Sheehan Jeannine,['Officer'],"InfuSystem Holdings, Inc",0001337013,2019-04-26,0001014108-19-000071
Kuykendall James W.,['Director'],"CROSSFIRST BANKSHARES, INC.",0001458412,2019-08-14,0001014108-19-000123
Ding Wei,['Officer'],INSEEGO CORP.,0001022652,2021-06-10,0001022652-21-000058
Washburn Christopher L,['Officer'],PIONEER NATURAL RESOURCES CO,0001038357,2022-07-21,0001038357-22-000108
BETTI TAREK AHMAD,['Officer'],FRESH DEL MONTE PRODUCE INC,0001047340,2022-06-14,0001047340-22-000188
Rowe Robert Scott,['Director'],"QUANTA SERVICES, INC.",0001050915,2022-07-20,0001050915-22-000107
Griffin Sarah E,['Officer'],IDAHO POWER CO,0000049648,2019-10-04,0001057877-19-000117
PILLAY KUBANDIRAN,['Director'],NET 1 UEPS TECHNOLOGIES INC,0001041514,2020-06-01,0001062993-20-002665
LEONE DOUGLAS M,"['Director', '10% Owner']","Airbnb, Inc.",0001559720,2020-12-09,0001062993-20-006195
Newhall Charles Ashton,"['10% Owner', 'Director']","Oblong, Inc.",0000746210,2021-02-12,0001062993-21-001384
SOFTBANK GROUP CORP,"['Director', '10% Owner']","SoFi Technologies, Inc.",0001818874,2021-06-02,0001062993-21-005314
Ourso A. Justin IV,['10% Owner'],"Vintage Wine Estates, Inc.",0001834045,2021-06-17,0001062993-21-005785
Dahnke Scott Arnold,['10% Owner'],"BurgerFi International, Inc.",0001723580,2021-11-15,0001062993-21-010937
GUIFFRE CHRISTOPHERD T,['Officer'],"Pear Therapeutics, Inc.",0001835567,2021-12-07,0001062993-21-012353
Sierra Luis Manuel,['Director'],STEEL DYNAMICS INC,0001022671,2022-01-19,0001062993-22-001206
GEISEL THOMAS X,['Officer'],WEBSTER FINANCIAL CORP,0000801337,2022-02-02,0001062993-22-002353
COBB CAROLE B,['Officer'],"GreenLight Biosciences Holdings, PBC",0001822691,2022-02-04,0001062993-22-002712
BROTT ALAN,['Director'],NB Crossroads Private Markets Fund VII Holdings LP,0001851515,2022-03-11,0001062993-22-007503
Mihaljevic Tomislav,['Director'],GENERAL ELECTRIC CO,0000040545,2022-04-12,0001062993-22-010112
Dahya Darsh,['Officer'],"Greenlane Holdings, Inc.",0001743745,2022-04-20,0001062993-22-010502
HOWARD KAREN L,['Director'],SERVOTRONICS INC /DE/,0000089140,2022-04-27,0001062993-22-010889
Berry Holly N,['Officer'],UNITED COMMUNITY BANKS INC,0000857855,2022-05-19,0001062993-22-012990
Petry John,['10% Owner'],"Provention Bio, Inc.",0001695357,2022-07-11,0001062993-22-016227
Smith Maurice S,['Director'],HALLIBURTON CO,0000045012,2023-03-02,0001062993-23-005547
Jedda Dan,['Officer'],"ROKU, INC",0001428439,2023-05-02,0001062993-23-009927
Kraft Jennifer,['Officer'],"FOOT LOCKER, INC.",0000850209,2023-07-06,0001062993-23-014616
Carsley Mimi,['Officer'],"BLUCORA, INC.",0001068875,2020-03-18,0001068875-20-000071
Roller Chad B,['Officer'],CONTANGO OIL & GAS CO,0001071993,2020-07-07,0001071993-20-000027
Intrater Jonathan,['Officer'],Mana Capital Acquisition Corp.,0001870144,2021-12-02,0001079973-21-001184
Berezovsky Louis C.,['Director'],"Ascent Solar Technologies, Inc.",0001350102,2022-09-23,0001079973-22-001152
BROSENS FRANK,['10% Owner'],Prime Impact Acquisition I,0001819175,2022-10-07,0001085146-22-003275
Barhorst Ronald,['Director'],"PREDICTIVE TECHNOLOGY GROUP, INC.",0001382943,2019-04-11,0001091818-19-000117
Tang Yanfei,"['Director', 'Officer']","ZZLL INFORMATION TECHNOLOGY, INC",0001365357,2019-11-14,0001091818-19-000298
Brown Darin Adams,['Director'],"Starco Brands, Inc.",0001539850,2020-07-14,0001091818-20-000159
HURLSTON MICHAEL E.,"['Director', 'Officer']",FINISAR CORP,0001094739,2018-01-16,0001094739-18-000006
Coles Joanna,"['Director', 'Officer', '10% Owner']",Northern Star Investment Corp. III,0001835817,2021-03-01,0001094891-21-000124
Tiramani Galiano Paolo,"['Director', 'Officer', '10% Owner']",Boxabl Inc.,0001816937,2023-10-10,0001096906-23-001930
Maloney Michael R.,"['Director', 'Officer', 'Other']",Ameramex International Inc,0001776048,2019-07-23,0001099910-19-000062
Natarajan Rajesh,['Director'],ALLIANCE DATA SYSTEMS CORP,0001101215,2020-06-10,0001101215-20-000115
Williams Catherine Lynne,['Director'],ENBRIDGE INC,0000895728,2018-01-02,0001104659-18-000096
Murrell David,['Officer'],Silver Run Acquisition Corp II,0001690769,2018-02-09,0001104659-18-008099
McCabe Michael Anthony,['Officer'],Silver Run Acquisition Corp II,0001690769,2018-02-09,0001104659-18-008111
MUELLER PETER,['Director'],"BioXcel Therapeutics, Inc.",0001720893,2018-03-07,0001104659-18-015621
ELLISOR GABRIEL L,['Director'],"Energy XXI Gulf Coast, Inc.",0001404973,2018-04-09,0001104659-18-023151
"Atlas Venture Associates VI, Inc.",['10% Owner'],"Carbon Black, Inc.",0001366527,2018-05-03,0001104659-18-030377
"Apollo Management Holdings GP, LLC",['10% Owner'],TALOS ENERGY INC.,0001724965,2018-05-21,0001104659-18-034868
Blake Alan,['Officer'],"Blue Apron Holdings, Inc.",0001701114,2018-06-25,0001104659-18-042067
"Triangle Private Holdings I, LLC","['Director', '10% Owner']",PLANTRONICS INC /CA/,0000914025,2018-07-06,0001104659-18-044179
Douglas I. Ostrover,['Director'],Owl Rock Technology Finance Corp.,0001747777,2018-10-09,0001104659-18-061117
NESBEDA EUGENE P,['Director'],"YETI Holdings, Inc.",0001670592,2018-10-24,0001104659-18-063707
Shipley Douglas M,['10% Owner'],Legacy Housing Corp,0001436208,2019-01-04,0001104659-19-000895
Fanucci Marsha,['Director'],IRONWOOD PHARMACEUTICALS INC,0001446847,2019-03-14,0001104659-19-014912
van de Winkel Jan,['Director'],HOOKIPA Pharma Inc.,0001760542,2019-04-17,0001104659-19-022007
Leggett Thomas,['Officer'],Axcella Health Inc.,0001633070,2019-05-08,0001104659-19-027943
NG CAROLYN,['Director'],BICYCLE THERAPEUTICS Ltd,0001761612,2019-05-22,0001104659-19-031224
Karin M. Taylor,['Officer'],ALERUS FINANCIAL CORP,0000903419,2019-09-12,0001104659-19-049959
"OpenView Management, LLC",['10% Owner'],"Datadog, Inc.",0001561550,2019-09-18,0001104659-19-050617
Omavuezi Elo,['Officer'],ProPetro Holding Corp.,0001680247,2019-10-09,0001104659-19-053612
SKINNER JAMES E,['Director'],Acamar Partners Acquisition Corp.,0001759008,2020-02-20,0001104659-20-023384
LaGatta Vanessa Gomez,['Officer'],Emerge Energy Services LP,0001555177,2020-02-21,0001104659-20-023958
"Mudrick Distressed Opportunity Fund Global, L.P.","['10% Owner', 'Director']",HYCROFT MINING HOLDING CORP,0001718405,2020-06-02,0001104659-20-069155
Jeremy Green,['10% Owner'],Repare Therapeutics Inc.,0001808158,2020-06-19,0001104659-20-075376
SCHWARTZ KEVIN,['10% Owner'],"AgroFresh Solutions, Inc.",0001592016,2020-07-29,0001104659-20-087928
IAC/InterActiveCorp,['10% Owner'],MGM Resorts International,0000789570,2020-08-10,0001104659-20-092466
Clemens Jason A,['Officer'],AdaptHealth Corp.,0001725255,2020-08-12,0001104659-20-094175
GARRETT DIANE R,"['Director', 'Officer']",HYCROFT MINING HOLDING CORP,0001718405,2020-09-10,0001104659-20-103975
"HIGHCAPE PARTNERS, L.P.; HIGHCAPE PARTNERS QP, L.P.; HighCape Partners GP, LLC; HighCape Partners GP, L.P.; HighCape Co-Investment Vehicle I, LLC; HighCape Co-Investment Vehicle II, LLC; HighCape Capital, L.P.; HighCape Capital, LLC; Zuga Matt; RAKIN KEVIN","['10% Owner', 'Director']","AZIYO BIOLOGICS, INC.",0001708527,2020-10-07,0001104659-20-113183
Payne Brown,['Director'],ALTIMAR ACQUISITION CORP.,0001823945,2020-10-22,0001104659-20-117233
Malchow Joseph Ian,['Director'],Rodgers Silicon Valley Acquisition Corp,0001828318,2020-12-01,0001104659-20-131170
Sinclair Andrew,['Director'],Verona Pharma plc,0001657312,2021-01-04,0001104659-21-000471
CANADA PENSION PLAN INVESTMENT BOARD,['10% Owner'],"Petco Health & Wellness Company, Inc.",0001826470,2021-01-20,0001104659-21-005828
POLAK REBECCA C.,['Officer'],"CarLotz, Inc.",0001759008,2021-01-25,0001104659-21-007203
Butch Jason,['Officer'],AGILE THERAPEUTICS INC,0001261249,2021-01-28,0001104659-21-008895
Herrera Maria Alejandra,"['Director', 'Officer (Co-Chief Investment Officer)']",Itiquira Acquisition Corp.,0001805508,2021-02-03,0001104659-21-011756
LAIKIN ROBERT J,"['Director', 'Officer', 'Chief Executive Officer']",Novus Capital Corp II,0001828536,2021-02-04,0001104659-21-012440
Kolchinsky Peter,"['Director', '10% Owner']",Vor Biopharma Inc.,0001817229,2021-02-04,0001104659-21-012474
Hiatt Randall,['Director'],Bite Acquisition Corp.,0001831270,2021-02-11,0001104659-21-021015
Pretlow Paula B,['Director'],"Ares Dynamic Credit Allocation Fund, Inc.",0001515324,2021-02-18,0001104659-21-025115
PIPV Capital LLC,['10% Owner'],IBERE PHARMACEUTICALS,0001835205,2021-02-25,0001104659-21-028475
Kolchinsky Peter,"['Director', 'Officer']",Research Alliance Corp. II,0001819724,2021-03-17,0001104659-21-037956
Phillips Anne M.,['Director'],Vaccitech plc,0001828185,2021-04-29,0001104659-21-057860
SWENT JAMES W III,['Director'],Valaris Ltd,0000314808,2021-05-10,0001104659-21-063876
Schiffman Glenn,"['Director', 'Officer']","Vimeo Holdings, Inc.",0001837686,2021-05-17,0001104659-21-068376
Manischewitz Jeanne L.,['Director'],Graf Acquisition Corp. IV,0001845459,2021-05-20,0001104659-21-070068
Hickling Ken,['Officer'],OceanTech Acquisitions I Corp.,0001846809,2021-05-27,0001104659-21-073471
Shultz Barbara Lou,['Officer'],Howmet Aerospace Inc.,0000004281,2021-05-27,0001104659-21-073494
Drayton Claudia,['Officer'],Quantum-Si Inc,0001816431,2021-06-14,0001104659-21-080900
Mally Romitha,['Director'],Coliseum Acquisition Corp.,0001847440,2021-06-24,0001104659-21-085313
DAMORE RICHARD A,['10% Owner'],Markforged Holding Corp,0001816613,2021-07-14,0001104659-21-092245
"JATT Ventures, L.P.",['10% Owner'],JATT Acquisition Corp,0001855644,2021-07-14,0001104659-21-092294
MOYES JAY M,['Officer'],"SERA PROGNOSTICS, INC.",0001534969,2021-07-14,0001104659-21-092300
Pinho Mark,['Director'],AMCI Acquisition Corp. II,0001843724,2021-08-03,0001104659-21-099673
Bennett Bruce Tyler,"['Officer (President, Ingredients)']","Benson Hill, Inc.",0001830210,2021-10-08,0001104659-21-124814
Cicalese Rosemarie,['Officer'],ROC Energy Acquisition Corp.,0001884516,2021-12-01,0001104659-21-145598
Chetrit Isaac,['Director'],BurTech Acquisition Corp.,0001871638,2021-12-10,0001104659-21-148788
McDonald Margaret,['Director'],Revelstone Capital Acquisition Corp.,0001874218,2021-12-16,0001104659-21-150730
Jameson Peter Hamilton,['Officer'],Vuzix Corp,0001463972,2022-01-19,0001104659-22-005401
DeCotis Deborah A,['Director'],"Cadre Holdings, Inc.",0001860543,2022-04-14,0001104659-22-046027
Brewer Joanna Elizabeth,['Officer'],Adaptimmune Therapeutics PLC,0001621227,2022-05-04,0001104659-22-056004
Hendrix Martin,['Director'],Axcella Health Inc.,0001633070,2022-05-23,0001104659-22-063984
Friedman David,"['Director', 'Officer']",Prime Number Acquisition I Corp.,0001858180,2022-05-26,0001104659-22-065168
Mertz Larry Michael,['Officer'],"Accelerate Diagnostics, Inc",0000727207,2022-07-13,0001104659-22-079650
Monroe Stephen,['Director'],Jushi Holdings Inc.,0001909747,2022-08-12,0001104659-22-090134
"Apollo Management Holdings GP, LLC",['10% Owner'],"Chicken Soup for the Soul Entertainment, Inc.",0001679063,2022-08-19,0001104659-22-092963
Stivers Steven E.,['Director'],PHOENIX MOTOR INC.,0001879848,2022-10-06,0001104659-22-107041
Darakjian Erin,['Officer'],P3 Health Partners Inc.,0001832511,2022-11-09,0001104659-22-116470
Hernandez Cielo,['Director'],QualTek Services Inc.,0001839412,2022-12-13,0001104659-22-126757
Srivastava Sapna,['Director'],"Innoviva, Inc.",0001080014,2023-01-06,0001104659-23-001902
Cooper Bradley P,['Officer'],NGL Energy Partners LP,0001504461,2023-01-13,0001104659-23-003582
Archbold Christine E.,['Officer (Chief Accounting Officer)'],AdaptHealth Corp.,0001725255,2023-03-14,0001104659-23-032070
Wilson Alexander Blair,['Officer'],"AEON Biopharma, Inc.",0001837607,2023-07-24,0001104659-23-083562
GARDELLA LEE A,['Other'],Hartford Schroders Private Opportunities Fund,0001903070,2023-08-01,0001104659-23-086312
Madan Puja,['Officer'],Accordant ODCE Index Fund,0001783964,2023-09-11,0001104659-23-099455
"Phillip Frost, M.D.",['10% Owner'],NOCOPI TECHNOLOGIES INC/MD/,0000888981,2023-09-13,0001104659-23-100544
Duitz Joshua,['Officer'],abrdn Life Sciences Investors,0000884121,2023-12-22,0001104659-23-128721
KELLY MICHAEL,['Officer'],EchoStar CORP,0001415404,2024-01-03,0001104659-24-000982
Gulati Manisha Shetty,['Director'],"MODEL N, INC.",0001118417,2020-12-15,0001118417-20-000157
Dakin Sloss,['10% Owner'],"Vaxxinity, Inc.",0001851657,2021-11-10,0001123292-21-001442
Rojo Luis,['Officer'],STEPAN CO,0000094049,2018-05-03,0001127602-18-016133
Adams Molly P,['Officer'],CALERES INC,0000014707,2018-06-05,0001127602-18-019921
Garechana Robert,['Officer'],EQUITY RESIDENTIAL,0000906107,2018-09-07,0001127602-18-027111
Gunnion Neil,['Officer'],MCDERMOTT INTERNATIONAL INC,0000708819,2018-10-01,0001127602-18-028764
Bacon Renee M,['Officer'],Murphy USA Inc.,0001573516,2019-02-14,0001127602-19-006064
Lacouture Paul A,['Director'],"Keysight Technologies, Inc.",0001601046,2019-03-25,0001127602-19-013141
Tighe Jan E,['Director'],PROGRESSIVE CORP/OH/,0000080661,2019-05-14,0001127602-19-018465
CAMPBELL MOLLY,['Director'],GRANITE CONSTRUCTION INC,0000861459,2019-06-07,0001127602-19-021108
Pike Thomas,['Director'],MARTIN MARIETTA MATERIALS INC,0000916076,2019-07-16,0001127602-19-024589
Pagel Brian,['Officer'],"Emerald Expositions Events, Inc.",0001579214,2019-08-08,0001127602-19-026285
Clingman Rachel G,['Director'],Noble Midstream Partners LP,0001647513,2019-08-13,0001127602-19-026563
SKAGGS ROBERT C JR,['Director'],TEAM INC,0000318833,2019-08-22,0001127602-19-027217
Griffith Peter H.,['Officer'],AMGEN INC,0000318154,2020-01-06,0001127602-20-001294
Dahlstrom Kevin Vincent,['Officer'],CENTRAL PACIFIC FINANCIAL CORP,0000701347,2020-01-22,0001127602-20-002170
Gottlieb Scott,['Director'],"ILLUMINA, INC.",0001110803,2020-02-06,0001127602-20-004036
Restel Anthony J,['Officer'],FIRST HORIZON NATIONAL CORP,0000036966,2020-07-10,0001127602-20-021371
Bell Michael Alan,['Officer'],CORNING INC /NY,0000024741,2020-10-09,0001127602-20-026738
BTR 2020 GST Trust f/b/o Julia R. Kuipers,['Other'],"HYSTER-YALE MATERIALS HANDLING, INC.",0001173514,2020-12-28,0001127602-20-032427
Carroll Charles Benner Jr,['Officer'],S&T BANCORP INC,0000719220,2020-12-30,0001127602-20-032546
OZOLINS MARTY V.,['Officer'],Snap-on Inc,0000091440,2021-07-08,0001127602-21-021732
Kristin C. Peck,['Director'],BlackRock Inc.,0001364742,2021-10-01,0001127602-21-026336
Ridha Essra,['Officer'],"AVROBIO, Inc.",0001681087,2021-10-27,0001127602-21-027706
Finucane Anne A.,['Director'],WILLIAMS SONOMA INC,0000719955,2021-11-09,0001127602-21-028747
Laxton Stephen D,['Officer'],NUCOR CORP,0000073309,2022-03-11,0001127602-22-008991
COLDEN TRACY M J,['Director'],NATIONAL HEALTH INVESTORS INC,0000877860,2022-06-01,0001127602-22-016188
Minder Scott,['Officer'],"HYSTER-YALE MATERIALS HANDLING, INC.",0001173514,2022-08-25,0001127602-22-021948
CARTER SUSAN K,['Director'],"STANLEY BLACK & DECKER, INC.",0000093556,2023-10-24,0001127602-23-026220
Davis MacKenzie B,['10% Owner'],ANTERO RESOURCES Corp,0001433270,2018-02-08,0001140361-18-005873
"Insight Holdings Group, LLC",['10% Owner'],Mimecast Ltd,0001644675,2018-04-02,0001140361-18-016420
HAASE BRUCE N,['Director'],"ESH Hospitality, Inc.",0001507563,2018-04-09,0001140361-18-017849
Vendola Keith A.,['Officer'],"Rezolute, Inc.",0001509261,2018-05-16,0001140361-18-024431
Stahl Wilhelm,['Officer'],"Tricida, Inc.",0001595585,2018-06-27,0001140361-18-030221
Ibrahim Maha Saleh,['Director'],"TheRealReal, Inc.",0001573221,2019-06-27,0001140361-19-011857
"Merck & Co., Inc. and Merck Sharp & Dohme Corp.",['10% Owner'],ARQULE INC,0001019695,2019-12-16,0001140361-19-022638
Rudow David,['Officer'],"NCINO, INC.",0001566895,2020-07-13,0001140361-20-015902
Slater John,['Director'],"Thryv Holdings, Inc.",0001556739,2020-09-23,0001140361-20-021345
Gelobter David,['Officer'],Atlantic Avenue Acquisition Corp,0001819510,2020-10-01,0001140361-20-022188
KKR 2006 Allstar Blocker L.P.,['10% Owner'],"Academy Sports & Outdoors, Inc.",0001817358,2020-10-02,0001140361-20-022348
KELLEY BRIAN P,['Director'],HumanCo Acquisition Corp.,0001829042,2020-12-08,0001140361-20-027727
TANNENBAUM LEONARD M,"['Director', 'Officer', '10% Owner']","AFC Gamma, Inc.",0001822523,2021-03-18,0001140361-21-009155
BANK OF AMERICA CORP /DE/,['10% Owner'],BLACKROCK NEW YORK MUNICIPAL INCOME TRUST,0001137390,2021-04-12,0001140361-21-012399
Gardner Jay,['Director'],Mercury Ecommerce Acquisition Corp,0001849902,2021-07-27,0001140361-21-025743
Singh Dinakar,"['Officer', '10% Owner']",AxonPrime Infrastructure Acquisition Corp,0001857662,2021-08-12,0001140361-21-028163
KRAVIS HENRY R,['10% Owner'],"ForgeRock, Inc.",0001543916,2021-09-15,0001140361-21-031380
"Focus Impact Sponsor, LLC","['Director', '10% Owner']",Focus Impact Acquisition Corp.,0001854480,2021-10-27,0001140361-21-035691
HALVORSEN OLE ANDREAS,['10% Owner'],"Amylyx Pharmaceuticals, Inc.",0001658551,2022-01-11,0001140361-22-001397
Bauer Matthew N,['Officer'],Constellation Energy Corp,0001868275,2022-02-10,0001140361-22-004641
HENSELER PETER J,['Director'],OLD NATIONAL BANCORP /IN/,0000707179,2022-02-17,0001140361-22-006081
HALVORSEN OLE ANDREAS,['10% Owner'],Frazier Lifesciences Acquisition Corp,0001828326,2022-11-04,0001140361-22-040054
Porter Stuart D,['10% Owner'],"KLX Energy Services Holdings, Inc.",0001738827,2023-03-20,0001140361-23-012551
Beck Fiona Elizabeth,['Director'],IBEX Ltd,0001720420,2023-06-30,0001140361-23-032537
Perlstein Cory,['Officer'],"Sculptor Diversified Real Estate Income Trust, Inc.",0001914496,2023-09-01,0001140361-23-042308
Benzur Liat,['Director'],"Talkspace, Inc.",0001803901,2023-12-11,0001140361-23-057228
Laumas Sandeep,"['Director', 'Officer', 'Executive Chairman']","INNOVATE BIOPHARMACEUTICALS, INC.",0001551986,2018-02-08,0001144204-18-006719
Zhu Rong,['Officer'],Senmiao Technology Ltd,0001711012,2018-03-15,0001144204-18-015030
Almenoff June Sherie,['Officer'],"INNOVATE BIOPHARMACEUTICALS, INC.",0001551986,2018-03-19,0001144204-18-015481
Recli Federico Seghi,['Director'],TITAN PHARMACEUTICALS INC,0000910267,2018-05-23,0001144204-18-030506
"Chiesi Ventures, Inc.",['10% Owner'],"Kezar Life Sciences, Inc.",0001645666,2018-06-20,0001144204-18-035616
Chen Alan (Jin-Long),"['Director', '10% Owner']",NowNews Digital Media Technology Co. Ltd.,0001509477,2018-07-11,0001144204-18-037984
PAPPAS ARTHUR M,['10% Owner'],Liquidia Technologies Inc,0001330436,2018-07-25,0001144204-18-039971
Ryan Beedie,['10% Owner'],Accelerize Inc.,0001352952,2019-02-13,0001144204-19-008043
"Adynxx, Inc.",['10% Owner'],"AquaMed Technologies, Inc.",0001468929,2019-06-21,0001144204-19-031965
MENCOFF SAMUEL M,['10% Owner'],"Option Care Health, Inc.",0001014739,2019-08-07,0001144204-19-038306
Morrison Maureen F,['Director'],ASBURY AUTOMOTIVE GROUP INC,0001144980,2019-01-07,0001144980-19-000002
Kreger Bradley Allen,['Officer'],FLUIDIGM CORP,0001162194,2018-05-24,0001162194-18-000066
Atkinson Robert D,['Officer'],NEWMONT GOLDCORP CORP /DE/,0001164727,2019-06-05,0001164727-19-000110
Siv Soklin,['Officer'],Whitestone REIT,0001175535,2022-02-22,0001175535-22-000034
Sexton John P,['Officer'],"Cboe Global Markets, Inc.",0001374310,2018-03-06,0001179110-18-003671
BONNEY MICHAEL W,['Director'],"Syros Pharmaceuticals, Inc.",0001556263,2018-06-15,0001179110-18-008616
Jill Griebenow,['Officer'],"Cboe Global Markets, Inc.",0001374310,2018-08-15,0001179110-18-010602
Richard Christopher,['Officer'],INVIVO THERAPEUTICS HOLDINGS CORP.,0001292519,2019-01-15,0001179110-19-000765
John Robert Koch,['Officer'],"Michaels Companies, Inc.",0001593936,2019-01-29,0001179110-19-001028
Long Justin M,['Officer'],"CBTX, Inc.",0001473844,2019-04-30,0001179110-19-005298
"Robert H. Rhyne, Jr.",['Director'],RedHawk Holdings Corp.,0001353406,2019-08-13,0001179110-19-009429
Grange Heidi B,['Officer'],NORTECH SYSTEMS INC,0000722313,2019-09-10,0001179110-19-010250
Fairclough Brett,['Officer'],"Virtu Financial, Inc.",0001592386,2019-09-13,0001179110-19-010327
PAULEY JAY D,['Director'],"Vivint Smart Home, Inc.",0001713952,2020-01-22,0001179110-20-000711
Martine-Dolecki Cathy-Ann,['Director'],TESSCO TECHNOLOGIES INC,0000927355,2020-11-16,0001179110-20-011141
Helen Delman,['Other'],DWS MUNICIPAL INCOME TRUST,0000839533,2021-09-13,0001179124-21-000030
Bough Bonin,['Director'],Philip Morris International Inc.,0001413329,2021-02-08,0001182489-21-000033
Balencic Jordan Paul,['Director'],"Mitesco, Inc.",0000802257,2024-01-02,0001185185-24-000008
NICK BARBARA A,['Director'],ALLETE INC,0000066756,2020-07-30,0001186165-20-000005
Patel Sanjay S,['Officer'],"IMMUNIC, INC.",0001280776,2019-07-24,0001193805-19-000658
McNeely Joseph E,['Officer'],"Andersons, Inc.",0000821026,2018-01-03,0001209191-18-000709
Scoggins Edward Andrew Jr.,['Director'],ULTRA PETROLEUM CORP,0001022646,2018-03-07,0001209191-18-017608
Brundage Deborah,['Officer'],"MONRO, INC.",0000876427,2018-04-13,0001209191-18-024804
Boyce Sarah,"['Director', 'Officer']","AKCEA THERAPEUTICS, INC.",0001662524,2018-04-18,0001209191-18-025304
Chappel Scott C,['Officer'],"Surface Oncology, Inc.",0001718108,2018-04-18,0001209191-18-025392
Viswanathan Ravi,['10% Owner'],"Surface Oncology, Inc.",0001718108,2018-04-18,0001209191-18-025435
Wolberg Kirsten O.,['Officer'],DOCUSIGN INC,0001261333,2018-04-26,0001209191-18-026333
LANGER ROBERT,['Director'],Abpro Corp,0001670356,2018-05-10,0001209191-18-029389
Smith Audrey A.,['Officer'],TENNECO INC,0001024725,2018-05-22,0001209191-18-032188
Barbarosh Craig A.,['Director'],"ARATANA THERAPEUTICS, INC.",0001509190,2018-05-22,0001209191-18-032362
Symington John,['Officer'],FRANK'S INTERNATIONAL N.V.,0001575828,2018-06-25,0001209191-18-039359
"Clarus Lifesciences III, L.P.",['10% Owner'],"Forty Seven, Inc.",0001667633,2018-06-27,0001209191-18-039609
Behbahani Ali,['10% Owner'],"GENOCEA BIOSCIENCES, INC.",0001457612,2018-07-17,0001209191-18-042856
John P. McKearn,['10% Owner'],Allakos Inc.,0001564824,2018-07-18,0001209191-18-043189
Maple Holdings B.V.,['10% Owner'],Keurig Dr Pepper Inc.,0001418135,2018-07-19,0001209191-18-043376
WILKERSON SONJA MICHELLE,['Director'],Koppers Holdings Inc.,0001315257,2018-09-12,0001209191-18-050697
Ebersole Nori,['Officer'],Urovant Sciences Ltd.,0001740547,2018-09-26,0001209191-18-052298
Petree Daniel H,['Director'],SUTRO BIOPHARMA INC,0001382101,2018-09-26,0001209191-18-052349
McDevitt Damien,['Director'],"AKCEA THERAPEUTICS, INC.",0001662524,2018-10-10,0001209191-18-054760
Petersen Timothy,['Director'],"SI-BONE, Inc.",0001459839,2018-10-16,0001209191-18-055159
Arenberg Michael,['Officer'],DURECT CORP,0001082038,2018-10-24,0001209191-18-056116
Finn Patrick John,['Officer'],Twist Bioscience Corp,0001581280,2018-10-30,0001209191-18-056593
GABBAY HENRY,['Director'],BLACKROCK NEW YORK MUNICIPAL INCOME TRUST II,0001176197,2019-01-04,0001209191-19-002317
GABBAY HENRY,['Director'],BlackRock Health Sciences Trust,0001314966,2019-01-04,0001209191-19-002332
Melin Heidi M,['Director'],"Sailpoint Technologies Holdings, Inc.",0001627857,2019-01-08,0001209191-19-002824
Murray Christine,['Director'],"Eiger BioPharmaceuticals, Inc.",0001305253,2019-01-08,0001209191-19-003030
Akin Okan I.,['Officer'],"Allegiance Bancshares, Inc.",0001642081,2019-01-30,0001209191-19-005981
Lane Nick,['Officer'],"AXA Equitable Holdings, Inc.",0001333986,2019-02-05,0001209191-19-007259
GADICKE ANSBERT,['10% Owner'],"Harpoon Therapeutics, Inc.",0001708493,2019-02-07,0001209191-19-008260
"New Leaf Ventures III, L.P.",['10% Owner'],"Harpoon Therapeutics, Inc.",0001708493,2019-02-07,0001209191-19-008266
Patel Dipan D,['Officer'],SBA COMMUNICATIONS CORP,0001034054,2019-02-07,0001209191-19-008291
Myers Tessa M.,['Director'],BADGER METER INC,0000009092,2019-03-01,0001209191-19-014869
NACHTSHEIM JAMI K,['Director'],CERUS CORP,0001020214,2019-03-06,0001209191-19-017529
Battle Emma S.,['Director'],Primo Water Corp,0001365101,2019-03-08,0001209191-19-018098
Maw Scott Harlan,['Director'],CHIPOTLE MEXICAN GRILL INC,0001058090,2019-03-18,0001209191-19-020065
Humphries Brian,"['Director', 'Officer']",COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-04-03,0001209191-19-023228
SCHULMAN AMY W,['Director'],"Cyclerion Therapeutics, Inc.",0001755237,2019-04-03,0001209191-19-023509
LESCHLY MARK,['Director'],NGM BIOPHARMACEUTICALS INC,0001426332,2019-04-03,0001209191-19-023536
"WLR Recovery Fund V DSS AIV, L.P.",['10% Owner'],Diamond S Shipping Inc.,0001761940,2019-04-05,0001209191-19-023943
WISE R HALSEY,['Director'],CERNER CORP /MO/,0000804753,2019-04-17,0001209191-19-024865
Govrin David E.,['Officer'],Third Point Reinsurance Ltd.,0001576018,2019-05-13,0001209191-19-029364
"ICONIQ STRATEGIC PARTNERS II, L.P.",['10% Owner'],"Fastly, Inc.",0001517413,2019-05-16,0001209191-19-030620
Parisen William,['Officer'],BADGER METER INC,0000009092,2019-06-03,0001209191-19-033977
NELSON RYAN ROBERT,['Officer'],CONNS INC,0001223389,2019-06-04,0001209191-19-034541
